cycle number	time/s	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	
3.000000000000000E+000	2.816483014618498E+002	1.9956388E+003	1.0987620E+004	1.0184562E+004	1.4981759E+004	-4.2827820E+001
3.000000000000000E+000	2.821162808174122E+002	1.5855074E+003	1.2615993E+004	1.1590799E+004	1.7132131E+004	-4.2574886E+001
3.000000000000000E+000	2.825845521462907E+002	1.2587913E+003	1.3925978E+004	1.2580468E+004	1.8767020E+004	-4.2094070E+001
3.000000000000000E+000	2.830502671017748E+002	1.0003202E+003	1.6198979E+004	1.4378763E+004	2.1660004E+004	-4.1593346E+001
4.000000000000000E+000	4.045688888890145E+002	1.0000186E+006	5.3991882E+002	9.8952203E+002	1.1272383E+003	-6.1381531E+001
4.000000000000000E+000	4.050028758695989E+002	7.9433269E+005	6.2877393E+002	9.5079797E+002	1.1399006E+003	-5.6522865E+001
4.000000000000000E+000	4.054378863969760E+002	6.3095681E+005	7.3191113E+002	9.9123248E+002	1.2321671E+003	-5.3558399E+001
4.000000000000000E+000	4.058718824175594E+002	5.0120622E+005	8.4387970E+002	1.0741683E+003	1.3660054E+003	-5.1846390E+001
4.000000000000000E+000	4.063058719848341E+002	3.9810347E+005	9.7021838E+002	1.1602285E+003	1.5124331E+003	-5.0096607E+001
4.000000000000000E+000	4.067398678987811E+002	3.1622997E+005	1.1320753E+003	1.2866025E+003	1.7137505E+003	-4.8655609E+001
4.000000000000000E+000	4.071738762660825E+002	2.5118766E+005	1.2893982E+003	1.4218723E+003	1.9194448E+003	-4.7797279E+001
4.000000000000000E+000	4.076078663667140E+002	1.9954350E+005	1.5250432E+003	1.5664357E+003	2.1862017E+003	-4.5767101E+001
4.000000000000000E+000	4.080428767606791E+002	1.5848613E+005	1.7177628E+003	1.7054176E+003	2.4205698E+003	-4.4793369E+001
4.000000000000000E+000	4.084768736613041E+002	1.2590930E+005	1.9465405E+003	1.8077314E+003	2.6564851E+003	-4.2882530E+001
4.000000000000000E+000	4.089108705619292E+002	1.0000371E+005	2.2199595E+003	2.0240302E+003	3.0041501E+003	-4.2356743E+001
4.000000000000000E+000	4.093448866092076E+002	7.9433273E+004	2.4455659E+003	2.1481726E+003	3.2550635E+003	-4.1295906E+001
4.000000000000000E+000	4.097798709764902E+002	6.3093824E+004	2.7715413E+003	2.4348203E+003	3.6891450E+003	-4.1299557E+001
4.000000000000000E+000	4.102148873438418E+002	5.0122477E+004	3.0234026E+003	2.6138281E+003	3.9966311E+003	-4.0844463E+001
4.000000000000000E+000	4.106488870978064E+002	3.9814059E+004	3.3633862E+003	2.8289690E+003	4.3949326E+003	-4.0067440E+001
4.000000000000000E+000	4.109428706584440E+002	3.1621139E+004	3.6377930E+003	3.0071099E+003	4.7197720E+003	-3.9578167E+001
4.000000000000000E+000	4.116878695737978E+002	2.5116910E+004	4.0873799E+003	3.3612476E+003	5.2919429E+003	-3.9432091E+001
4.000000000000000E+000	4.121218823144154E+002	1.9948785E+004	4.5336230E+003	3.7584167E+003	5.8889248E+003	-3.9659058E+001
4.000000000000000E+000	4.125558780416904E+002	1.5847683E+004	5.0454556E+003	4.0754419E+003	6.4858188E+003	-3.8929375E+001
4.000000000000000E+000	4.128498680823541E+002	1.2590930E+004	5.5527090E+003	4.5730498E+003	7.1934248E+003	-3.9473877E+001
4.000000000000000E+000	4.131438780429598E+002	1.0002226E+004	6.1683848E+003	5.0279668E+003	7.9579785E+003	-3.9184128E+001
4.000000000000000E+000	4.134783837388968E+002	7.9439990E+003	6.7287637E+003	5.5958911E+003	8.7515859E+003	-3.9748177E+001
4.000000000000000E+000	4.138749522643338E+002	6.3077339E+003	7.2790298E+003	6.1822969E+003	9.5501348E+003	-4.0342236E+001
4.000000000000000E+000	4.143440909800192E+002	5.0116040E+003	8.1692256E+003	7.3672451E+003	1.1000570E+004	-4.2045059E+001
4.000000000000000E+000	4.148110979355406E+002	3.9812744E+003	9.6429004E+003	7.7480840E+003	1.2370058E+004	-3.8781925E+001
4.000000000000000E+000	4.152780699043869E+002	3.1610117E+003	9.9523350E+003	8.8101318E+003	1.3291629E+004	-4.1516304E+001
4.000000000000000E+000	4.157450687532328E+002	2.5108032E+003	1.0890940E+004	9.5880537E+003	1.4510112E+004	-4.1359711E+001
4.000000000000000E+000	4.162110892287019E+002	1.9956388E+003	1.2342054E+004	1.0821745E+004	1.6414520E+004	-4.1244892E+001
4.000000000000000E+000	4.166790888775940E+002	1.5855074E+003	1.3371918E+004	1.2478466E+004	1.8289896E+004	-4.3020508E+001
4.000000000000000E+000	4.171473464198061E+002	1.2587913E+003	1.5255538E+004	1.3587889E+004	2.0429443E+004	-4.1690998E+001
4.000000000000000E+000	4.176130695886241E+002	1.0003202E+003	1.6365435E+004	1.4862718E+004	2.2107189E+004	-4.2245022E+001
