time/s	cycle number	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	
9.338858690600318E+002	4.000000000000000E+000	3.1621139E+004	8.0424179E+001	1.7825827E+001	8.2376022E+001	-1.2497429E+001
9.343198723606474E+002	4.000000000000000E+000	2.1544684E+004	8.2866020E+001	2.3063097E+001	8.6015602E+001	-1.5552837E+001
9.347538596879167E+002	4.000000000000000E+000	1.4678594E+004	8.5620728E+001	3.0213760E+001	9.0795265E+001	-1.9436869E+001
9.350478784485895E+002	4.000000000000000E+000	1.0002226E+004	8.9057373E+001	4.0143055E+001	9.7686646E+001	-2.4263710E+001
9.354248882264656E+002	4.000000000000000E+000	6.8110674E+003	9.3301048E+001	5.4071156E+001	1.0783680E+002	-3.0093761E+001
9.358950562755272E+002	4.000000000000000E+000	4.6414854E+003	9.8873688E+001	7.3133072E+001	1.2298151E+002	-3.6488914E+001
9.363620663243782E+002	4.000000000000000E+000	3.1610117E+003	1.0553770E+002	9.9781113E+001	1.4523938E+002	-4.3393997E+001
9.368290721598896E+002	4.000000000000000E+000	2.1556899E+003	1.1394814E+002	1.3699710E+002	1.7819199E+002	-5.0247814E+001
9.372973215687671E+002	4.000000000000000E+000	1.4685898E+003	1.2412286E+002	1.8889137E+002	2.2602309E+002	-5.6690590E+001
9.377630703909163E+002	4.000000000000000E+000	1.0003202E+003	1.3854544E+002	2.6259274E+002	2.9690030E+002	-6.2183613E+001
1.239471666333353E+003	5.000000000000000E+000	1.0000186E+006	7.8559563E+001	-4.6220002E+000	7.8695412E+001	3.3670778E+000
1.239905661393917E+003	5.000000000000000E+000	6.8129269E+005	7.3170364E+001	-3.4799802E+000	7.3253075E+001	2.7229335E+000
1.240339665414562E+003	5.000000000000000E+000	4.6415716E+005	7.3198769E+001	-1.2445703E+000	7.3209351E+001	9.7408402E-001
1.240773665435176E+003	5.000000000000000E+000	3.1622997E+005	7.3479256E+001	1.0159252E+000	7.3486275E+001	-7.9212177E-001
1.241208658629184E+003	5.000000000000000E+000	2.1544686E+005	7.3930244E+001	3.0347390E+000	7.3992508E+001	-2.3505964E+000
1.241642648036446E+003	5.000000000000000E+000	1.4677664E+005	7.4639305E+001	5.2400198E+000	7.4823013E+001	-4.0158362E+000
1.242077661977120E+003	5.000000000000000E+000	1.0000371E+005	7.5716431E+001	7.4824524E+000	7.6085251E+001	-5.6437616E+000
1.242511652344401E+003	5.000000000000000E+000	6.8132047E+004	7.7133003E+001	1.0147837E+001	7.7797676E+001	-7.4949503E+000
1.242945671351656E+003	5.000000000000000E+000	4.6420355E+004	7.8787025E+001	1.3384210E+001	7.9915787E+001	-9.6412706E+000
1.243379649985611E+003	5.000000000000000E+000	3.1621139E+004	8.0844849E+001	1.7472006E+001	8.2711311E+001	-1.2195078E+001
1.243813654139551E+003	5.000000000000000E+000	2.1544684E+004	8.3069893E+001	2.2911785E+001	8.6171669E+001	-1.5419567E+001
1.244247653600149E+003	5.000000000000000E+000	1.4678594E+004	8.5916718E+001	3.0192270E+001	9.1067314E+001	-1.9362148E+001
1.244541647480830E+003	5.000000000000000E+000	1.0002226E+004	8.9362694E+001	4.0389191E+001	9.8066193E+001	-2.4321507E+001
1.244919662538770E+003	5.000000000000000E+000	6.8110674E+003	9.3697273E+001	5.4230652E+001	1.0825961E+002	-3.0061649E+001
1.245389853494475E+003	5.000000000000000E+000	4.6414854E+003	9.9265312E+001	7.3590424E+001	1.2356841E+002	-3.6551422E+001
1.245856859383326E+003	5.000000000000000E+000	3.1610117E+003	1.0593075E+002	1.0029858E+002	1.4588052E+002	-4.3435627E+001
1.246323885112171E+003	5.000000000000000E+000	2.1556899E+003	1.1412759E+002	1.3748055E+002	1.7867850E+002	-5.0302704E+001
1.246792096627731E+003	5.000000000000000E+000	1.4685898E+003	1.2495586E+002	1.8996053E+002	2.2737407E+002	-5.6663120E+001
1.247257863076535E+003	5.000000000000000E+000	1.0003202E+003	1.3839574E+002	2.6344669E+002	2.9758618E+002	-6.2285828E+001
1.548967457658990E+003	6.000000000000000E+000	1.0000186E+006	7.8058548E+001	-4.9793963E+000	7.8217209E+001	3.6499827E+000
1.549401445466297E+003	6.000000000000000E+000	6.8129269E+005	7.3209373E+001	-3.5666311E+000	7.3296204E+001	2.7891436E+000
1.549835440420226E+003	6.000000000000000E+000	4.6415716E+005	7.3147575E+001	-1.1413623E+000	7.3156479E+001	8.9394540E-001
1.550270438814216E+003	6.000000000000000E+000	3.1622997E+005	7.3345161E+001	1.0000868E+000	7.3351982E+001	-7.8119946E-001
1.550704457448184E+003	6.000000000000000E+000	2.1544686E+005	7.3863235E+001	3.1371779E+000	7.3929825E+001	-2.4320502E+000
1.551138455895445E+003	6.000000000000000E+000	1.4677664E+005	7.4627304E+001	5.3418231E+000	7.4818245E+001	-4.0942492E+000
1.551573443542788E+003	6.000000000000000E+000	1.0000371E+005	7.5730568E+001	7.7067075E+000	7.6121696E+001	-5.8106909E+000
1.552007443003386E+003	6.000000000000000E+000	6.8132047E+004	7.7067017E+001	1.0322432E+001	7.7755241E+001	-7.6288481E+000
1.552441463530675E+003	6.000000000000000E+000	4.6420355E+004	7.8807701E+001	1.3590343E+001	7.9970940E+001	-9.7843895E+000
1.552875459791307E+003	6.000000000000000E+000	3.1621139E+004	8.0739479E+001	1.7827616E+001	8.2684265E+001	-1.2451361E+001
1.553309456985240E+003	6.000000000000000E+000	2.1544684E+004	8.3125374E+001	2.3245579E+001	8.6314453E+001	-1.5623373E+001
1.553743461992504E+003	6.000000000000000E+000	1.4678594E+004	8.6001984E+001	3.0693920E+001	9.1315155E+001	-1.9641373E+001
1.554037438646454E+003	6.000000000000000E+000	1.0002226E+004	8.9516922E+001	4.0978107E+001	9.8450417E+001	-2.4596857E+001
