time/s	cycle number	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	
1.169722651021802E+003	5.000000000000000E+000	1.0000186E+006	1.7367664E+002	1.0568407E+001	1.7399789E+002	-3.4822149E+000
1.170156663415793E+003	5.000000000000000E+000	6.8129269E+005	1.5644801E+002	4.4820113E+000	1.5651221E+002	-1.6409931E+000
1.170591651009760E+003	5.000000000000000E+000	4.6415716E+005	1.5217467E+002	4.4367504E+000	1.5223933E+002	-1.6700222E+000
1.171025657670412E+003	5.000000000000000E+000	3.1622997E+005	1.5044894E+002	6.2219672E+000	1.5057755E+002	-2.3681750E+000
1.171459658917694E+003	5.000000000000000E+000	2.1544686E+005	1.5011356E+002	9.2207670E+000	1.5039648E+002	-3.5149930E+000
1.171894650058312E+003	5.000000000000000E+000	1.4677664E+005	1.5055699E+002	1.2891206E+001	1.5110788E+002	-4.8939242E+000
1.172328660985586E+003	5.000000000000000E+000	1.0000371E+005	1.5256903E+002	1.8171928E+001	1.5364742E+002	-6.7922883E+000
1.172762664792899E+003	5.000000000000000E+000	6.8132047E+004	1.5512804E+002	2.4296494E+001	1.5701920E+002	-8.9014750E+000
1.173196671400176E+003	5.000000000000000E+000	4.6420355E+004	1.5867435E+002	3.2168854E+001	1.6190239E+002	-1.1460533E+001
1.173630670727478E+003	5.000000000000000E+000	3.1621139E+004	1.6328867E+002	4.2471199E+001	1.6872163E+002	-1.4579524E+001
1.174064659788055E+003	5.000000000000000E+000	2.1544684E+004	1.6907816E+002	5.5871563E+001	1.7807036E+002	-1.8286041E+001
1.174358673828669E+003	5.000000000000000E+000	1.4678594E+004	1.7648515E+002	7.4309441E+001	1.9149126E+002	-2.2833628E+001
1.174792672595955E+003	5.000000000000000E+000	1.0002226E+004	1.8588315E+002	9.9451096E+001	2.1081523E+002	-2.8147646E+001
1.175169685840563E+003	5.000000000000000E+000	6.8110674E+003	1.9872510E+002	1.3337349E+002	2.3933272E+002	-3.3867367E+001
1.175640853596313E+003	5.000000000000000E+000	4.6414854E+003	2.1659633E+002	1.7747641E+002	2.8002115E+002	-3.9330776E+001
1.176107850151828E+003	5.000000000000000E+000	3.1610117E+003	2.3885191E+002	2.3764249E+002	3.3693350E+002	-4.4854572E+001
1.176829851279457E+003	5.000000000000000E+000	2.1556899E+003	2.6765149E+002	3.1783572E+002	4.1551999E+002	-4.9899055E+001
1.177299111781715E+003	5.000000000000000E+000	1.4685898E+003	2.9982507E+002	4.3065186E+002	5.2474384E+002	-5.5153893E+001
1.177764851057196E+003	5.000000000000000E+000	1.0003202E+003	3.4353870E+002	5.8796130E+002	6.8096796E+002	-5.9702774E+001
1.479188465759406E+003	6.000000000000000E+000	1.0000186E+006	1.7096327E+002	9.7795753E+000	1.7124275E+002	-3.2739103E+000
1.479622456233323E+003	6.000000000000000E+000	6.8129269E+005	1.5514220E+002	4.0842552E+000	1.5519595E+002	-1.5080136E+000
1.480057452387366E+003	6.000000000000000E+000	4.6415716E+005	1.5081821E+002	4.3157053E+000	1.5087994E+002	-1.6390874E+000
1.480491446167944E+003	6.000000000000000E+000	3.1622997E+005	1.4902475E+002	6.0569324E+000	1.4914778E+002	-2.3274374E+000
1.480925460348561E+003	6.000000000000000E+000	2.1544686E+005	1.4863989E+002	8.8974619E+000	1.4890594E+002	-3.4255910E+000
1.481359452075863E+003	6.000000000000000E+000	1.4677664E+005	1.4945915E+002	1.2794562E+001	1.5000580E+002	-4.8929186E+000
1.481793466043149E+003	6.000000000000000E+000	1.0000371E+005	1.5090826E+002	1.7692760E+001	1.5194189E+002	-6.6869345E+000
1.482227460223730E+003	6.000000000000000E+000	6.8132047E+004	1.5355241E+002	2.3659782E+001	1.5536450E+002	-8.7594061E+000
1.482662450057760E+003	6.000000000000000E+000	4.6420355E+004	1.5715253E+002	3.1390800E+001	1.6025697E+002	-1.1296013E+001
1.483096446398369E+003	6.000000000000000E+000	3.1621139E+004	1.6154266E+002	4.1522068E+001	1.6679362E+002	-1.4414961E+001
1.483530464178955E+003	6.000000000000000E+000	2.1544684E+004	1.6751691E+002	5.4986710E+001	1.7631067E+002	-1.8172201E+001
1.483824457712952E+003	6.000000000000000E+000	1.4678594E+004	1.7459119E+002	7.2550476E+001	1.8906522E+002	-2.2565079E+001
1.484259445546908E+003	6.000000000000000E+000	1.0002226E+004	1.8430013E+002	9.6812057E+001	2.0818048E+002	-2.7712749E+001
1.484636456844819E+003	6.000000000000000E+000	6.8110674E+003	1.9660548E+002	1.2930977E+002	2.3531836E+002	-3.3333397E+001
1.485106635613884E+003	6.000000000000000E+000	4.6414854E+003	2.1372258E+002	1.7316821E+002	2.7507193E+002	-3.9016037E+001
1.485573643396063E+003	6.000000000000000E+000	3.1610117E+003	2.3694240E+002	2.3070451E+002	3.3070572E+002	-4.4235786E+001
1.486295648363695E+003	6.000000000000000E+000	2.1556899E+003	2.6315814E+002	3.0701602E+002	4.0436499E+002	-4.9398537E+001
1.486763899852594E+003	6.000000000000000E+000	1.4685898E+003	2.9642340E+002	4.1299063E+002	5.0835822E+002	-5.4331161E+001
1.487229635901385E+003	6.000000000000000E+000	1.0003202E+003	3.3756577E+002	5.6086621E+002	6.5461560E+002	-5.8957737E+001
1.788653257803599E+003	7.000000000000000E+000	1.0000186E+006	1.7013934E+002	9.5270319E+000	1.7040587E+002	-3.2049570E+000
1.789087236197563E+003	7.000000000000000E+000	6.8129269E+005	1.5475128E+002	4.1672792E+000	1.5480739E+002	-1.5425384E+000
1.789522256644865E+003	7.000000000000000E+000	4.6415716E+005	1.4975993E+002	3.9387302E+000	1.4981172E+002	-1.5065485E+000
1.789956247518843E+003	7.000000000000000E+000	3.1622997E+005	1.4828896E+002	5.7353621E+000	1.4839983E+002	-2.2149210E+000
1.790391258526142E+003	7.000000000000000E+000	2.1544686E+005	1.4786571E+002	8.8351412E+000	1.4812943E+002	-3.4194214E+000
1.790825253800096E+003	7.000000000000000E+000	1.4677664E+005	1.4844116E+002	1.2687267E+001	1.4898236E+002	-4.8851986E+000
1.791259249127368E+003	7.000000000000000E+000	1.0000371E+005	1.5007837E+002	1.7124037E+001	1.5105214E+002	-6.5093341E+000
1.791693237841318E+003	7.000000000000000E+000	6.8132047E+004	1.5263785E+002	2.3300312E+001	1.5440602E+002	-8.6792526E+000
1.792127253088591E+003	7.000000000000000E+000	4.6420355E+004	1.5608395E+002	3.1001303E+001	1.5913290E+002	-1.1233853E+001
1.792561241775882E+003	7.000000000000000E+000	3.1621139E+004	1.6055904E+002	4.0932053E+001	1.6569441E+002	-1.4302032E+001
1.792995238516494E+003	7.000000000000000E+000	2.1544684E+004	1.6646175E+002	5.3899738E+001	1.7497055E+002	-1.7941774E+001
