time/s	cycle number	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	
9.322828675172350E+002	4.000000000000000E+000	4.6415716E+005	4.1311363E+001	-4.7688522E+000	4.1585701E+001	6.5848966E+000
9.325778618512268E+002	4.000000000000000E+000	3.1622997E+005	4.1211620E+001	-2.3700333E+000	4.1279713E+001	3.2913897E+000
9.330118648851931E+002	4.000000000000000E+000	2.1544686E+005	4.1286732E+001	-3.5488379E-001	4.1288258E+001	4.9247885E-001
9.334458692258049E+002	4.000000000000000E+000	1.4677664E+005	4.1631855E+001	1.4697154E+000	4.1657791E+001	-2.0218539E+000
9.338808675398177E+002	4.000000000000000E+000	1.0000371E+005	4.2143143E+001	3.2267370E+000	4.2266491E+001	-4.3783731E+000
9.343148687070643E+002	4.000000000000000E+000	6.8132047E+004	4.2859650E+001	5.0096846E+000	4.3151436E+001	-6.6668119E+000
9.347498528077558E+002	4.000000000000000E+000	4.6420355E+004	4.3843796E+001	6.9942341E+000	4.4398174E+001	-9.0638056E+000
9.351838539216842E+002	4.000000000000000E+000	3.1621139E+004	4.5016392E+001	9.4564962E+000	4.5998920E+001	-1.1863503E+001
9.356178723423218E+002	4.000000000000000E+000	2.1544684E+004	4.6581959E+001	1.2533719E+001	4.8238708E+001	-1.5059797E+001
9.360528599629470E+002	4.000000000000000E+000	1.4678594E+004	4.8599030E+001	1.6513159E+001	5.1327869E+001	-1.8766924E+001
9.364878773169767E+002	4.000000000000000E+000	1.0002226E+004	5.1194168E+001	2.1546108E+001	5.5543476E+001	-2.2824783E+001
9.368648836015200E+002	4.000000000000000E+000	6.8110674E+003	5.4128696E+001	2.8086510E+001	6.0981701E+001	-2.7424072E+001
9.373350598372563E+002	4.000000000000000E+000	4.6414854E+003	5.7749416E+001	3.6679329E+001	6.8413216E+001	-3.2421520E+001
9.378020494861048E+002	4.000000000000000E+000	3.1610117E+003	6.1369148E+001	4.8515442E+001	7.8229919E+001	-3.8328171E+001
9.382690845216202E+002	4.000000000000000E+000	2.1556899E+003	6.6012917E+001	6.5105148E+001	9.2716690E+001	-4.4603333E+001
9.387373133705114E+002	4.000000000000000E+000	1.4685898E+003	7.1182701E+001	8.8971436E+001	1.1394250E+002	-5.1338009E+001
9.392030523259818E+002	4.000000000000000E+000	1.0003202E+003	7.7603310E+001	1.2305487E+002	1.4548119E+002	-5.7762836E+001
1.241073648996098E+003	5.000000000000000E+000	1.0000186E+006	4.3983913E+001	-9.4329634E+000	4.4984058E+001	1.2104520E+001
1.241508667736751E+003	5.000000000000000E+000	6.8129269E+005	4.0353184E+001	-8.0460978E+000	4.1147530E+001	1.1276427E+001
1.241943657250755E+003	5.000000000000000E+000	4.6415716E+005	4.0575291E+001	-4.8676982E+000	4.0866230E+001	6.8409123E+000
1.242237656998012E+003	5.000000000000000E+000	3.1622997E+005	4.0500122E+001	-2.3999040E+000	4.0571163E+001	3.3911941E+000
1.242672654432041E+003	5.000000000000000E+000	2.1544686E+005	4.0561775E+001	-4.0414810E-001	4.0563789E+001	5.7086295E-001
1.243107663892704E+003	5.000000000000000E+000	1.4677664E+005	4.0846703E+001	1.3396354E+000	4.0868664E+001	-1.8784369E+000
1.243541656366637E+003	5.000000000000000E+000	1.0000371E+005	4.1353176E+001	3.0774610E+000	4.1467529E+001	-4.2560482E+000
1.243976671533979E+003	5.000000000000000E+000	6.8132047E+004	4.2095127E+001	4.7562351E+000	4.2362972E+001	-6.4463840E+000
1.244411664487940E+003	5.000000000000000E+000	4.6420355E+004	4.3062023E+001	6.7511153E+000	4.3588020E+001	-8.9101067E+000
1.244845660668594E+003	5.000000000000000E+000	3.1621139E+004	4.4278568E+001	9.1001062E+000	4.5204021E+001	-1.1613685E+001
1.245279654769198E+003	5.000000000000000E+000	2.1544684E+004	4.5732582E+001	1.2106764E+001	4.7307957E+001	-1.4827744E+001
1.245713656229811E+003	5.000000000000000E+000	1.4678594E+004	4.7646542E+001	1.5869938E+001	5.0219994E+001	-1.8421698E+001
1.246148669050453E+003	5.000000000000000E+000	1.0002226E+004	5.0148003E+001	2.0669868E+001	5.4240810E+001	-2.2400347E+001
1.246525676961726E+003	5.000000000000000E+000	6.8110674E+003	5.3089851E+001	2.6866627E+001	5.9500824E+001	-2.6842127E+001
1.246995885010758E+003	5.000000000000000E+000	4.6414854E+003	5.6343346E+001	3.5279140E+001	6.6476990E+001	-3.2052563E+001
1.247462840072942E+003	5.000000000000000E+000	3.1610117E+003	6.0018089E+001	4.6684261E+001	7.6036774E+001	-3.7877079E+001
1.247929841908452E+003	5.000000000000000E+000	2.1556899E+003	6.4103371E+001	6.2716076E+001	8.9680252E+001	-4.4373260E+001
1.248398105344007E+003	5.000000000000000E+000	1.4685898E+003	6.9321968E+001	8.5811592E+001	1.1031393E+002	-5.1067364E+001
1.248863880699486E+003	5.000000000000000E+000	1.0003202E+003	7.5158081E+001	1.1918662E+002	1.4090489E+002	-5.7764816E+001
1.550734448676259E+003	6.000000000000000E+000	1.0000186E+006	4.5921421E+001	-9.2450075E+000	4.6842793E+001	1.1382763E+001
1.551168439496862E+003	6.000000000000000E+000	6.8129269E+005	5.9558105E+001	-6.1560407E+000	5.9875412E+001	5.9012461E+000
1.551602454370790E+003	6.000000000000000E+000	4.6415716E+005	4.2156757E+001	-4.9319654E+000	4.2444275E+001	6.6727633E+000
1.551897442118177E+003	6.000000000000000E+000	3.1622997E+005	4.2051826E+001	-2.5020766E+000	4.2126198E+001	3.4050746E+000
1.552331440085458E+003	6.000000000000000E+000	2.1544686E+005	4.2112923E+001	-5.4313475E-001	4.2116425E+001	7.3890865E-001
1.552765447066078E+003	6.000000000000000E+000	1.4677664E+005	4.2357292E+001	1.1979760E+000	4.2374229E+001	-1.6200440E+000
